Title,Author,Original language,Published,Genre,Sales
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,fiction,12
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,fiction,25
Dream of the Red Chamber,Cao Xueqin,Chinese,1791,family saga,100
Grimms' Fairy Tales (Kinder- und Hausmärchen),Jacob and Wilhelm Grimm,German,1812,folklore,135
Pride and Prejudice,Jane Austen,English,1813,fiction,20
Alice's Adventures in Wonderland,Lewis Carroll,English,1865,fantasy novel,100
War and Peace,Leo Tolstoy,Russian,1869,historical novel,36
Black Beauty,Anna Sewell,English,1877,children's literature,50
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,historical novel,50
Heidi,Johanna Spyri,German,1880,children's fiction,50
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,fantasy,80
Adventures of Huckleberry Finn,Mark Twain,English,1885,young adult fiction,20
She: A History of Adventure,H. Rider Haggard,English,1887,adventure,83
A Message to Garcia,Elbert Hubbard,English,1899,fiction,40
The Tale of Peter Rabbit,Beatrix Potter,English,1902,children's fiction,45
Anne of Green Gables,Lucy Maud Montgomery,English,1908,general,50
The Wind in the Willows,Kenneth Grahame,English,1908,fiction,25
The Good Soldier Švejk,Jaroslav Hašek,Czech,1923,fiction,20
The Prophet,Kahlil Gibran,English,1923,fiction,11
The Great Gatsby,F. Scott Fitzgerald,English,1925,fiction,30
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,historical novel,20
How the Steel Was Tempered,Nikolai Ostrovsky,Russian,1932,fiction,36.4
God's Little Acre,Erskine Caldwell,English,1933,fiction,14
Lust for Life,Irving Stone,English,1934,historical novel,25
Virgin Soil Upturned,Mikhail Sholokhov,Russian,1935,fiction,24
Gone with the Wind,Margaret Mitchell,English,1936,historical novel,30
How to Win Friends and Influence People,Dale Carnegie,English,1936,self-improvement,15
Uncle Styopa,Sergey Mikhalkov,Russian,1936,fiction,21
The Hobbit,J. R. R. Tolkien,English,1937,fantasy,100
Think and Grow Rich,Napoleon Hill,English,1937,self-improvement,100
Rebecca,Daphne du Maurier,English,1938,young adult fiction,30
And Then There Were None,Agatha Christie,English,1939,mystery,100
The Grapes of Wrath,John Steinbeck,English,1939,historical novel,15
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,children's fiction,15
The Stranger (L'Étranger),Albert Camus,French,1942,fiction,10
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,fantasy,200
